movie_id,title,overview,poster_path,source_genre,genres,poster_file,Drama,Comedy,Documentary,Romance,Action,Thriller,Horror,Crime,Music,Animation,TV Movie,Family
17,The Dark,"In an attempt to pull her family together, Adèlle travels with her young daughter Sarah to Wales to visit her father. The morning after they arrive, Sarah mysteriously vanishes in the ocean. Not long after, a little girl bearing a striking resemblance to their missing daughter reveals that she has retuned from the dead  — and that Sarah has been taken to the Welsh underworld.",/h6gCVAzjFLhzkffv2VZO1RgVCBt.jpg,['Horror'],"['Thriller', 'Mystery', 'Horror']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/17.jpg,0,0,0,0,0,1,1,0,0,0,0,0
18,The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,['Action'],"['Adventure', 'Science Fiction', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/18.jpg,0,0,0,0,1,0,0,0,0,0,0,0
19,Metropolis,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",/vZIJxGnjcswPCAa52jhbl01FQkV.jpg,['Drama'],"['Science Fiction', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/19.jpg,1,0,0,0,0,0,0,0,0,0,0,0
20,My Life Without Me,A fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness.,/pFEtVPW88pWflYV84UFL0h1iJr3.jpg,['Romance'],"['Romance', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/20.jpg,1,0,0,1,0,0,0,0,0,0,0,0
21,The Endless Summer,"Bruce Brown's The Endless Summer is one of the first and most influential surf movies of all time. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which, back in 1965 was off-season for surfing) in search of the perfect wave and ultimately, an endless summer.",/hinHiXl8sOGIz2TLIZNpO5rhjND.jpg,['Documentary'],['Documentary'],/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/21.jpg,0,0,1,0,0,0,0,0,0,0,0,0
22,Pirates of the Caribbean: The Curse of the Black Pearl,"After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.",/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,['Action'],"['Adventure', 'Action', 'Fantasy']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/22.jpg,0,0,0,0,1,0,0,0,0,0,0,0
24,Kill Bill: Vol. 1,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,"['Action', 'Crime']","['Action', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/24.jpg,0,0,0,0,1,0,0,1,0,0,0,0
25,Jarhead,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swofford and his unit are sent to the Persian Gulf where they are eager to fight, but are forced to stay back from the action. Swofford struggles with the possibility of his girlfriend cheating on him, and as his mental state deteriorates, his desire to kill increases.",/4rCzaZy5Qkvxh5xaVpHriXSLTgC.jpg,['Drama'],"['War', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/25.jpg,1,0,0,0,0,0,0,0,0,0,0,0
27,9 Songs,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",/91O7z0vo7MiNWd5xD2BoivwbQsb.jpg,"['Romance', 'Music', 'Drama']","['Romance', 'Music', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/27.jpg,1,0,0,1,0,0,0,0,1,0,0,0
28,Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,['Drama'],"['War', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/28.jpg,1,0,0,0,0,0,0,0,0,0,0,0
35,The Simpsons Movie,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",/gzb6P78zeFTnv9eoFYnaJ2YrZ5q.jpg,"['Comedy', 'Family', 'Animation']","['Comedy', 'Family', 'Animation']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/35.jpg,0,1,0,0,0,0,0,0,0,1,0,1
38,Eternal Sunshine of the Spotless Mind,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,"['Romance', 'Drama']","['Romance', 'Science Fiction', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/38.jpg,1,0,0,1,0,0,0,0,0,0,0,0
55,Amores Perros,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.",/tuyV4ceh80IBTbRJWX7jJ59UFxn.jpg,"['Thriller', 'Drama']","['Thriller', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/55.jpg,1,0,0,0,0,1,0,0,0,0,0,0
58,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,['Action'],"['Adventure', 'Action', 'Fantasy']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/58.jpg,0,0,0,0,1,0,0,0,0,0,0,0
59,A History of Violence,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,/A26rcvipOqptVs7i5uRmKicXRxE.jpg,"['Thriller', 'Drama', 'Crime']","['Thriller', 'Drama', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/59.jpg,1,0,0,0,0,1,0,1,0,0,0,0
63,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,['Thriller'],"['Thriller', 'Science Fiction', 'Mystery']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/63.jpg,0,0,0,0,0,1,0,0,0,0,0,0
64,Talk to Her,Two men share an odd friendship while they care for two women who are both in deep comas.,/fWDbQlOWOqjR5jZm98KjGyYmUOw.jpg,['Romance'],"['Romance', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/64.jpg,1,0,0,1,0,0,0,0,0,0,0,0
65,8 Mile,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg,"['Music', 'Drama']","['Music', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/65.jpg,1,0,0,0,0,0,0,0,1,0,0,0
66,Absolute Power,"A master thief coincidentally is robbing a house where a murder—in which the President of the United States is involved—occurs in front of his eyes. He is forced to run, while holding evidence that could convict the President.",/jiwy7YaPHLN8s1SuXWGgQLKKNKE.jpg,"['Action', 'Crime']","['Drama', 'Action', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/66.jpg,1,0,0,0,1,0,0,1,0,0,0,0
67,Paradise Now,Two childhood friends are recruited for a suicide bombing in Tel Aviv.,/qWZkYa8VdcDZk8uzRB2PfhpM9IL.jpg,['Crime'],"['Thriller', 'War', 'Drama', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/67.jpg,1,0,0,0,0,1,0,1,0,0,0,0
68,Brazil,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",/2w09J0KUnVtJvqPYu8N63XjAyCR.jpg,['Comedy'],"['Comedy', 'Science Fiction']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/68.jpg,0,1,0,0,0,0,0,0,0,0,0,0
69,Walk the Line,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",/zMkD6FVikyPNnigoupO7vD5ti9p.jpg,"['Romance', 'Music', 'Drama']","['Romance', 'Music', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/69.jpg,1,0,0,1,0,0,0,0,1,0,0,0
70,Million Dollar Baby,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",/jcfEqKdWF1zeyvECPqp3mkWLct2.jpg,['Drama'],['Drama'],/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/70.jpg,1,0,0,0,0,0,0,0,0,0,0,0
71,Billy Elliot,"County Durham, England, 1984. The miners' strike has started and the police have started coming up from Bethnal Green, starting a class war with the lower classes suffering. Caught in the middle of the conflict is 11-year old Billy Elliot, who, after leaving his boxing club for the day, stumbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs. Wilkinson for an upcoming audition in Newcastle-upon Tyne for the royal Ballet school in London.",/nOr5diUZxphmAD3li9aiILyI28F.jpg,"['Music', 'Comedy', 'Drama']","['Music', 'Comedy', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/71.jpg,1,1,0,0,0,0,0,0,1,0,0,0
73,American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,['Drama'],['Drama'],/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/73.jpg,1,0,0,0,0,0,0,0,0,0,0,0
74,War of the Worlds,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",/oZmJ6hD2dc6zLCIPgw8onPMo0QC.jpg,['Thriller'],"['Thriller', 'Adventure', 'Science Fiction']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/74.jpg,0,0,0,0,0,1,0,0,0,0,0,0
75,Mars Attacks!,"A fleet of Martian spacecraft surrounds the world's major cities and all of humanity waits to see if the extraterrestrial visitors have, as they claim, ""come in peace."" U.S. President James Dale receives assurance from science professor Donald Kessler that the Martians' mission is a friendly one. But when a peaceful exchange ends in the total annihilation of the U.S. Congress, military men call for a full-scale nuclear retaliation.",/bGxhc8Cd908XbDxg5baDvbiVzUI.jpg,['Comedy'],"['Comedy', 'Science Fiction', 'Fantasy']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/75.jpg,0,1,0,0,0,0,0,0,0,0,0,0
76,Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,"['Romance', 'Drama']","['Romance', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/76.jpg,1,0,0,1,0,0,0,0,0,0,0,0
77,Memento,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",/fKTPH2WvH8nHTXeBYBVhawtRqtR.jpg,['Thriller'],"['Thriller', 'Mystery']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/77.jpg,0,0,0,0,0,1,0,0,0,0,0,0
78,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,"['Thriller', 'Drama']","['Thriller', 'Science Fiction', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/78.jpg,1,0,0,0,0,1,0,0,0,0,0,0
79,Hero,"During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.",/1NBtOH3KPU9UUp1vzVHJ8qzdW88.jpg,"['Drama', 'Action']","['Adventure', 'History', 'Drama', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/79.jpg,1,0,0,0,1,0,0,0,0,0,0,0
80,Before Sunset,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",/94Yl2xVB7YIRK4IgA0RqYGiNgkB.jpg,"['Romance', 'Drama']","['Romance', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/80.jpg,1,0,0,1,0,0,0,0,0,0,0,0
81,Nausicaä of the Valley of the Wind,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",/tcrkfB8SRPQCgwI88hQScua6nxh.jpg,['Animation'],"['Adventure', 'Animation', 'Fantasy']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/81.jpg,0,0,0,0,0,0,0,0,0,1,0,0
82,Miami Vice,"A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves.",/1KGD2g0wOc7WBfHc5G19reLHQxk.jpg,"['Thriller', 'Action', 'Crime']","['Thriller', 'Action', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/82.jpg,0,0,0,0,1,1,0,1,0,0,0,0
83,Open Water,"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...",/85o7BSpumewsd8KoGYvqpGH54yF.jpg,"['Thriller', 'Horror']","['Thriller', 'Drama', 'Horror']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/83.jpg,1,0,0,0,0,1,1,0,0,0,0,0
85,Raiders of the Lost Ark,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,['Action'],"['Adventure', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/85.jpg,0,0,0,0,1,0,0,0,0,0,0,0
87,Indiana Jones and the Temple of Doom,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",/om61eim8XwLfh6QXzh2r0Q4blBz.jpg,['Action'],"['Adventure', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/87.jpg,0,0,0,0,1,0,0,0,0,0,0,0
88,Dirty Dancing,"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love.",/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg,"['Romance', 'Music', 'Drama']","['Romance', 'Music', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/88.jpg,1,0,0,1,0,0,0,0,1,0,0,0
89,Indiana Jones and the Last Crusade,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg,['Action'],"['Adventure', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/89.jpg,0,0,0,0,1,0,0,0,0,0,0,0
90,Beverly Hills Cop,"Fast-talking, quick-thinking Detroit street cop Axel Foley has bent more than a few rules and regs in his time, but when his best friend is murdered, he heads to sunny Beverly Hills to work the case like only he can.",/eBJEvKkhQ0tUt1dBAcTEYW6kCle.jpg,"['Comedy', 'Action', 'Crime']","['Comedy', 'Action', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/90.jpg,0,1,0,0,1,0,0,1,0,0,0,0
91,Land Without Bread,"An exploration —manipulated and staged— of life in Las Hurdes, in the province of Cáceres, in Extremadura, Spain, as it was in 1932. Insalubrity, misery and lack of opportunities provoke the emigration of young people and the solitude of those who remain in the desolation of one of the poorest and least developed Spanish regions at that time. (Silent short, voiced in 1937 and 1996.)",/nTizDiDbiVPCGqC6uMVDp8GoEeP.jpg,['Documentary'],['Documentary'],/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/91.jpg,0,0,1,0,0,0,0,0,0,0,0,0
93,Anatomy of a Murder,"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret.",/b2G1QSAwtBv9luhEwErIgSRaU92.jpg,"['Drama', 'Crime']","['Drama', 'Mystery', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/93.jpg,1,0,0,0,0,0,0,1,0,0,0,0
95,Armageddon,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg,"['Thriller', 'Action']","['Thriller', 'Adventure', 'Science Fiction', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/95.jpg,0,0,0,0,1,1,0,0,0,0,0,0
96,Beverly Hills Cop II,"Axel Foley returns to the land of sunshine and palm trees to investigate the near-fatal shooting of police Captain Andrew Bogomil. With the help of Sgt. Taggart and Det. Rosewood, they soon uncover that the shooting is associated with a series of ""alphabet"" robberies masterminded by a heartless weapons kingpin—and the chase is on.",/egDakU8O5yUwpUJP9IMAUVtIDll.jpg,"['Comedy', 'Action', 'Crime']","['Comedy', 'Action', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/96.jpg,0,1,0,0,1,0,0,1,0,0,0,0
97,Tron,"When brilliant video game maker Flynn hacks the mainframe of his ex-employer, he is beamed inside an astonishing digital world...And becomes part of the very game he is designing. In his mission through cyberspace, Flynn matches wits with a maniacal Master Control Program and teams up with Tron, a security measure created to bring balance to the digital environment.",/zwSFEczP7AzqugAHHIX3zHniT0t.jpg,['Action'],"['Adventure', 'Science Fiction', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/97.jpg,0,0,0,0,1,0,0,0,0,0,0,0
98,Gladiator,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,"['Drama', 'Action']","['Adventure', 'Drama', 'Action']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/98.jpg,1,0,0,0,1,0,0,0,0,0,0,0
100,"Lock, Stock and Two Smoking Barrels",A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,/wt2TRBmFmBn5M5MBcPTwovlREaB.jpg,"['Comedy', 'Crime']","['Comedy', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/100.jpg,0,1,0,0,0,0,0,1,0,0,0,0
101,Léon: The Professional,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,"['Drama', 'Action', 'Crime']","['Drama', 'Action', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/101.jpg,1,0,0,0,1,0,0,1,0,0,0,0
102,Open Hearts,"Cecilie and Joachim are about to get married when a freak car accident leaves Joachim disabled, throwing their lives into a spin. The driver of the other car, Marie, and her family don’t get off lightly, either. Her husband Niels works in the hospital where he meets Cecilie and falls madly in love with her.",/hOrV2fCw2kmSiS4ZMGFPfXqr3lt.jpg,['Romance'],"['Romance', 'Drama']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/102.jpg,1,0,0,1,0,0,0,0,0,0,0,0
103,Taxi Driver,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,"['Drama', 'Crime']","['Drama', 'Crime']",/content/drive/MyDrive/Tmdb_posters_custom/movie_posters/103.jpg,1,0,0,0,0,0,0,1,0,0,0,0
